Building ID,Slight,,Moderate,,Severe,,Complete,,Demolition/MM,
,Existing,Retrofit,Existing,Retrofit,Existing,Retrofit,Existing,Retrofit,Existing,Retrofit
MFD-SWOF-L1-2S,0.29,0.31,0.41,0.49,0.44,0.56,0.44,0.57,0.74,1.03
MFD-SWOF-L2-2S,0.24,0.27,0.34,0.43,0.35,0.54,0.36,0.54,0.61,1.05
MFD-SWOF-L3-2S,0.52,0.57,0.74,0.83,0.81,0.92,0.81,0.92,0.75,0.92
MFD-SWOF-L4-2S,0.31,0.32,0.45,0.48,0.47,0.52,0.47,0.53,0.75,0.81
MFD-SWOF-L1-3S,0.23,0.30,0.30,0.44,0.32,0.49,0.32,0.50,0.57,0.85
MFD-SWOF-L2-3S,0.18,0.26,0.26,0.41,0.26,0.47,0.26,0.47,0.49,0.83
MFD-SWOF-L3-3S,0.41,0.47,0.57,0.66,0.60,0.70,0.61,0.70,0.59,0.73
MFD-SWOF-L4-3S,0.25,0.28,0.34,0.39,0.35,0.41,0.35,0.42,0.61,0.67
MFD-NonSWOF-L1-2S,0.32,0.00,0.45,0.00,0.47,0.00,0.48,0.00,0.81,0.00
MFD-NonSWOF-L2-2S,0.32,0.00,0.45,0.00,0.48,0.00,0.48,0.00,0.78,0.00
MFD-NonSWOF-L3-2S,0.54,0.00,0.75,0.00,0.80,0.00,0.80,0.00,0.84,0.00
MFD-NonSWOF-L4-2S,0.32,0.00,0.45,0.00,0.48,0.00,0.48,0.00,0.78,0.00
MFD-NonSWOF-L1-3S,0.28,0.00,0.38,0.00,0.39,0.00,0.39,0.00,0.69,0.00
MFD-NonSWOF-L2-3S,0.25,0.00,0.35,0.00,0.37,0.00,0.37,0.00,0.64,0.00
MFD-NonSWOF-L3-3S,0.44,0.00,0.61,0.00,0.63,0.00,0.63,0.00,0.70,0.00
MFD-NonSWOF-L4-3S,0.25,0.00,0.35,0.00,0.37,0.00,0.37,0.00,0.63,0.00
MFD-L1-1S,0.65,0.00,0.85,0.00,0.90,0.00,0.90,0.00,1.56,0.00
MFD-L2-1S,0.67,0.00,0.85,0.00,0.91,0.00,0.91,0.00,1.59,0.00
MFD-L3-1S,1.15,0.00,1.45,0.00,1.55,0.00,1.55,0.00,1.81,0.00
MFD-L4-1S,0.67,0.00,0.85,0.00,0.91,0.00,0.91,0.00,1.57,0.00
SFD-1S,0.69,0.00,0.89,0.00,0.99,0.00,0.99,0.00,1.68,0.00